$Date,$Time,PI-518,PI-520,FI-515,TI-516,TI-522,TI-521,PI-523,HR_A3,QR_A3,QR_SCL_A3
02/15/16,00:00:00,6651.583,11127.45,77.39946,29.81461,80.50684,80.28322,11152.36,0.5481215,0.0336681,0.03294744
02/15/16,00:01:00,6645.987,11143.63,76.98326,29.5989,80.42829,79.9592,11165.81,0.5520244,0.03350652,0.0331485
02/15/16,00:02:00,6636.156,11159.77,74.76915,30.01424,80.6335,80.15338,11198.73,0.5555562,0.03335637,0.03326543
02/15/16,00:03:00,6638.732,11173.89,74.35721,30.24237,81.02073,80.38402,11187.01,0.5541546,0.0332528,0.03325231
02/15/16,00:04:00,6584.026,11098.44,69.59715,30.33416,81.37262,80.75631,11122.33,0.5611079,0.03214798,0.03331411
02/15/16,00:05:00,6659.819,11127.72,78.33646,30.16256,81.02895,80.63797,11164.13,0.5427589,0.03412385,0.03299787
02/15/16,00:06:00,6646.294,11142.31,74.83209,29.90462,80.7445,80.32872,11176.47,0.552789,0.03350422,0.03314196
02/15/16,00:07:00,6630.63,11164.71,74.59845,30.1834,80.96871,80.33535,11194.12,0.5562694,0.0332506,0.03329158
02/15/16,00:08:00,6633.294,11158.25,74.4673,30.29943,81.25346,80.71548,11194.91,0.5544319,0.03335461,0.03316414
02/15/16,00:09:00,6652.088,11163.42,76.47427,30.33173,81.16418,80.74603,11182.3,0.5548425,0.03355372,0.03310885
02/15/16,00:10:00,6678.254,11164.67,76.83545,30.3087,81.16516,80.68915,11206.79,0.5518267,0.03372921,0.03310004
02/15/16,00:11:00,6657.572,11188.74,74.82866,30.39275,81.22299,80.68032,11201.71,0.5540246,0.03326194,0.03317664
02/15/16,00:12:00,6639.822,11163.94,73.59453,30.35349,81.17696,80.77887,11201.36,0.554251,0.03297239,0.03320508
02/15/16,00:13:00,6695.347,11170.94,75.62984,30.39533,81.16908,80.68118,11226.28,0.5516071,0.03335346,0.03312678
02/15/16,00:14:00,6681.453,11201.7,75.44797,30.35785,81.23581,80.69416,11225.32,0.553432,0.03340688,0.03317539
02/15/16,00:15:00,6687.395,11175.49,77.15428,30.43169,81.28186,80.8199,11206.95,0.5501411,0.03354021,0.03294221
02/15/16,00:16:00,6648.682,11183.22,72.0071,30.45219,81.22581,80.77509,11200.69,0.5553302,0.03273453,0.0331545
02/15/16,00:17:00,6666.377,11198.37,75.02536,30.336,81.02686,80.72835,11226.8,0.5522162,0.03310048,0.03312707
02/15/16,00:18:00,6631.65,11130.78,73.009,30.27747,81.26023,80.7651,11174.62,0.5611743,0.03287058,0.0332232
02/15/16,00:19:00,6670.629,11168.45,77.15236,30.2346,80.9706,80.50488,11189.36,0.5485513,0.03371083,0.03307479
02/15/16,00:20:00,6687.792,11203.09,77.33958,30.24021,80.93031,80.61852,11243.47,0.5539806,0.03378337,0.03315307
02/15/16,00:21:00,6672.373,11243.09,73.75305,30.60865,81.39072,80.78693,11264.95,0.5561273,0.03318554,0.03325199
02/15/16,00:22:00,6713.081,11262.61,76.87436,30.97581,81.84045,81.21092,11291.59,0.5560156,0.03351289,0.03324576
02/15/16,00:23:00,6681.083,11257.01,74.41072,31.01159,81.94422,81.49548,11294.25,0.5557016,0.03311427,0.03323848
02/15/16,00:24:00,6704.189,11177.98,78.52542,30.95683,82.17822,81.57008,11221.28,0.5466594,0.03412369,0.03292823
02/15/16,00:25:00,6696.455,11215.36,75.88737,30.61082,81.40117,81.0961,11248.78,0.5537902,0.03349843,0.03325045
02/15/16,00:26:00,6681.189,11241.36,76.64314,30.53785,81.31183,80.85217,11266.97,0.5562887,0.03345575,0.03322357
02/15/16,00:27:00,6688.279,11218.02,75.16013,30.57733,81.45936,81.11855,11275.92,0.5550428,0.03330926,0.03330582
02/15/16,00:28:00,6697.771,11262.2,74.64043,30.77237,81.52573,81.04479,11290.11,0.5557705,0.03319592,0.03321631
02/15/16,00:29:00,6649.437,11217.9,72.86572,30.6808,81.63723,81.14652,11272.03,0.5586535,0.03262309,0.03330196
02/15/16,00:30:00,6652.068,11125.58,74.28026,30.43447,81.66396,81.13303,11156.66,0.5478052,0.0333787,0.03310692
02/15/16,00:31:00,6674.324,11054.89,80.70575,29.80821,80.86069,80.52662,11081.96,0.5398842,0.03465811,0.03273223
02/15/16,00:32:00,6645.368,11088.77,80.14632,29.11182,79.901,79.17136,11116.17,0.5490283,0.03439477,0.03303993
02/15/16,00:33:00,6623.075,11157.49,75.02655,29.39092,79.98907,79.46148,11189.75,0.5586532,0.03331663,0.03333973
02/15/16,00:34:00,6644.108,11166.69,76.81329,29.94331,80.91797,80.19879,11183.76,0.5517995,0.03368197,0.03322888
02/15/16,00:35:00,6596.788,11126.66,71.55254,30.29755,81.09016,80.69883,11162.06,0.5603493,0.03278042,0.03335986
02/15/16,00:36:00,6691.708,11169.98,79.6653,30.32114,81.20828,80.63341,11202.51,0.5477769,0.03434603,0.03298832
02/15/16,00:37:00,6658.293,11200.63,77.27165,30.39072,81.20795,80.54343,11231.76,0.5558093,0.03381033,0.0332022
02/15/16,00:38:00,6663.001,11228.19,74.71774,30.6228,81.40831,80.8754,11247.02,0.5562925,0.03334749,0.03330233
02/15/16,00:39:00,6633.069,11204.65,72.30913,30.78643,81.87997,81.32148,11214.66,0.5594364,0.03279776,0.03337866
02/15/16,00:40:00,6716.313,11233.13,76.69533,30.70325,81.66343,81.14175,11262.25,0.5523807,0.03360782,0.03315187
02/15/16,00:41:00,6698.866,11182.52,79.59023,30.53716,81.53339,81.15224,11218.4,0.5496599,0.03429945,0.03300363
02/15/16,00:42:00,6666.975,11214.92,75.47717,30.41809,81.2674,80.92857,11243.44,0.5519919,0.03329428,0.03327617
02/15/16,00:43:00,6706.302,11209.33,77.01054,30.41213,81.3548,80.89886,11237.81,0.5481483,0.03388654,0.03299363
02/15/16,00:44:00,6711.421,11243.58,77.27815,30.3393,81.13254,80.74628,11266.92,0.550802,0.03365473,0.03312446
02/15/16,00:45:00,6717.585,11279.37,75.17628,30.50885,81.40405,80.79637,11305.06,0.555371,0.03335681,0.03319652
02/15/16,00:46:00,6685.675,11243.48,74.21278,30.64838,81.63528,81.14584,11261.66,0.5546731,0.03296763,0.03320632
02/15/16,00:47:00,6716.189,11292.73,76.32733,30.76575,81.39242,81.05854,11297.13,0.555117,0.03330393,0.03322045
02/15/16,00:48:00,6704.625,11235.4,76.66521,30.57721,81.71635,81.05675,11244.74,0.5520046,0.03357609,0.03313892
02/15/16,00:49:00,6716.962,11259.48,77.52599,30.48075,81.15396,80.94181,11296.99,0.5537106,0.03371502,0.03319469
02/15/16,00:50:00,6736.626,11280.64,77.13652,30.44582,81.24053,80.73626,11333.45,0.5528507,0.03379069,0.03316669
02/15/16,00:51:00,6723.411,11312.45,76.56949,30.65416,81.39194,81.00858,11338.76,0.5575855,0.03325391,0.03321109
02/15/16,00:52:00,6710.257,11309.58,73.83943,30.73888,81.7117,81.19563,11330.26,0.557861,0.03323637,0.03340502
02/15/16,00:53:00,6709.843,11214.18,76.64992,30.69064,81.87691,82.14553,11252.65,0.5496935,0.03364244,0.03308428
02/15/16,00:54:00,6733.694,11275.85,77.90469,30.20004,81.07681,80.81966,11299.6,0.5487173,0.0337523,0.03319294
02/15/16,00:55:00,6698.868,11296.46,76.25464,30.10271,81.00127,80.55202,11309.57,0.5567299,0.0335543,0.0332164
02/15/16,00:56:00,6717.453,11263.33,75.93347,30.32981,81.32674,80.72269,11297.95,0.5539594,0.03344464,0.0332074
