$Date,$Time,PI-475,PI-477,FI-472,TI-473,TI-479,TI-478,PI-482,HR_A2,QR_A2,QR_SCL_A2
02/15/16,00:00:00,2483.77,7131.923,64.63331,23.50484,115.8926,114.8016,7100.208,1.178811,0.05001707,0.05006441
02/15/16,00:01:00,2483.909,7179.424,65.59888,23.67111,115.9753,115.0792,7159.472,1.189373,0.05012323,0.05024756
02/15/16,00:02:00,2515.244,7187.978,66.46262,24.11057,116.5544,115.744,7164.476,1.17995,0.05051258,0.05001201
02/15/16,00:03:00,2533.01,7190.581,66.15244,24.62372,116.9784,116.0905,7163.057,1.167932,0.05046,0.04986099
02/15/16,00:04:00,2425.093,6821.792,62.70221,24.36961,117.0355,115.6926,6814.801,1.161482,0.04988316,0.04962156
02/15/16,00:05:00,2536.285,7178.877,65.44182,23.87393,116.0028,114.9146,7161.412,1.167993,0.04982166,0.04979235
02/15/16,00:06:00,2521.615,7306.271,66.60505,24.21193,116.3903,115.2614,7169.253,1.173117,0.05054659,0.04992273
02/15/16,00:07:00,2521.04,7172.871,65.31925,24.60071,117.0764,115.6165,7155.978,1.172615,0.04995359,0.04990304
02/15/16,00:08:00,2517.21,7126.794,66.13316,24.67784,117.0171,115.7975,7110.33,1.165794,0.04999341,0.0497368
02/15/16,00:09:00,2530.571,7185.67,65.19022,24.7316,116.9589,115.9259,7166.188,1.168293,0.04960725,0.04989439
02/15/16,00:10:00,2523.77,7204.144,64.42668,24.74374,116.7968,115.5848,7184.421,1.176898,0.04924116,0.04989003
02/15/16,00:11:00,2531.562,7145.696,66.2774,24.80914,116.8503,116.0613,7135.865,1.164245,0.05024349,0.04972256
02/15/16,00:12:00,2530.859,7178.137,66.46288,24.77232,117.0177,116.1034,7128.836,1.161996,0.05035178,0.0496738
02/15/16,00:13:00,2546.057,7245.15,66.31335,24.77016,116.7567,115.8368,7232.296,1.173393,0.04986252,0.04988798
