$Date,$Time,PI-101B,PZI-102B,PI-401B,PI-402B,PDI-401B,TI-402B,LI-401B
02/15/16,00:00:00,140.6661,140.5838,386.5664,381.2129,26.14861,48.99428,85.25961
02/15/16,00:01:00,140.4243,140.53,386.7734,381.0864,26.24249,49.09734,85.27821
02/15/16,00:02:00,141.0582,140.9293,388.2078,382.2502,26.35925,48.93095,85.20549
02/15/16,00:03:00,140.6543,140.4417,387.2214,381.4971,26.25885,48.89769,85.30493
02/15/16,00:04:00,140.6433,140.4985,386.3755,380.6694,26.31462,48.99672,85.25552
02/15/16,00:05:00,140.6116,140.5281,386.6719,380.5313,26.33068,48.92188,85.2644
02/15/16,00:06:00,140.9617,140.8853,387.2981,381.5466,26.31187,48.8877,85.28651
02/15/16,00:07:00,140.7355,140.6396,385.8494,380.1853,26.34331,48.88541,85.24696
02/15/16,00:08:00,141.269,141.1304,387.1243,381.5676,26.42601,48.928,85.2178
02/15/16,00:09:00,140.8307,140.8121,386.9619,381.0413,26.38268,48.97266,85.22661
02/15/16,00:10:00,141.0464,140.9304,386.3413,380.6924,26.22814,49.00686,85.27379
02/15/16,00:11:00,140.7692,140.7369,385.9246,380.2173,26.37573,49.01946,85.19514
02/15/16,00:12:00,140.8612,140.8768,387.0151,381.1418,26.24485,49.02713,85.25362
02/15/16,00:13:00,140.8051,140.806,386.7468,380.8501,26.14658,49.04808,85.31436
02/15/16,00:14:00,140.5182,140.6045,386.4358,380.5398,26.26656,49.04938,85.24715
02/15/16,00:15:00,140.5268,140.5279,386.3125,380.5149,26.19473,49.11012,85.22211
02/15/16,00:16:00,140.6179,140.6357,386.9558,380.8328,26.32896,49.06198,85.30598
02/15/16,00:17:00,140.8069,140.7461,387.615,381.9934,26.37569,48.95774,85.18698
02/15/16,00:18:00,140.4181,140.4373,386.5613,380.5095,26.24191,48.97731,85.27913
02/15/16,00:19:00,140.8261,140.8304,386.9526,381.3604,26.35635,48.97224,85.19466
02/15/16,00:20:00,140.9154,140.9019,386.6799,380.8997,26.22761,48.89669,85.17732
02/15/16,00:21:00,140.5869,140.5253,386.6152,381.0781,26.30787,48.95156,85.23947
02/15/16,00:22:00,140.8765,140.8405,386.6018,380.7446,26.27014,48.985,85.22713
02/15/16,00:23:00,140.7832,140.6763,386.0308,380.1089,26.33896,48.9583,85.28206
02/15/16,00:24:00,141.0073,140.9039,386.5464,380.7783,26.26846,49.05372,85.2477
02/15/16,00:25:00,141.0001,140.8213,386.9458,381.0242,26.27831,49.05964,85.26288
02/15/16,00:26:00,141.0196,140.9248,385.6367,380.7761,26.13922,49.01578,85.33078
02/15/16,00:27:00,140.6712,140.6202,386.2144,380.6311,26.29543,49.08743,85.27078
02/15/16,00:28:00,141.1003,140.9563,387.1941,381.4138,26.25469,49.0253,85.29829
02/15/16,00:29:00,141.1743,141.0626,387.7034,381.8381,26.25057,48.98375,85.21658
02/15/16,00:30:00,140.7523,140.5751,386.4275,380.7188,26.22452,49.06147,85.23318
02/15/16,00:31:00,141.0909,140.6158,387.2036,381.0007,26.32748,49.03211,85.26314
02/15/16,00:32:00,140.8477,140.783,387.9607,381.635,26.45752,48.9325,85.24951
02/15/16,00:33:00,141.2645,141.1331,386.968,381.0378,26.60965,48.8976,85.20901
02/15/16,00:34:00,141.0304,140.9846,387.2058,381.5713,26.2566,48.87351,85.2769
02/15/16,00:35:00,141.0045,141.0221,386.5557,380.8167,26.15116,48.9267,85.24255
02/15/16,00:36:00,141.1513,141.0846,386.9163,381.2627,26.3488,48.97945,85.29199
02/15/16,00:37:00,141.2258,141.0486,387.0564,381.238,26.30932,48.96048,85.23242
02/15/16,00:38:00,140.6732,140.6539,385.6919,379.7703,26.2175,48.98372,85.21971
02/15/16,00:39:00,140.9231,140.8365,386.1763,380.2839,26.22746,49.00117,85.21326
02/15/16,00:40:00,141.1261,141.0638,387.5544,381.9233,26.34018,49.00873,85.25954
02/15/16,00:41:00,140.9245,140.9275,386.6299,381.0698,26.27216,49.01904,85.26753
02/15/16,00:42:00,141.0753,141.0062,386.7676,381.1582,26.2603,49.01466,85.20422
