$Date,$Time,PI-428,PI-430,FI-425,TI-426,TI-432,TI-431,PI-433,HR_A1,QR_A1,QR_SCL_A1
02/15/16,00:00:00,715.8765,2555.656,82.01069,24.42757,108.2682,107.2999,2549.655,1.340909,0.1003992,0.1010934
02/15/16,00:01:00,743.4882,2559.639,86.1414,24.84737,107.7161,106.6779,2554.131,1.303007,0.10114,0.09958004
02/15/16,00:02:00,747.251,2589.813,84.02336,25.09711,107.0872,106.274,2585.504,1.312206,0.1001418,0.09974273
02/15/16,00:03:00,759.801,2604.116,85.16602,25.67888,107.0905,106.352,2602.595,1.294634,0.0990658,0.09927423
02/15/16,00:04:00,735.0848,2492.887,86.96354,24.6405,107.6877,106.5909,2490.09,1.28313,0.1022055,0.09870178
02/15/16,00:05:00,744.7009,2601.88,83.36323,24.93745,106.9838,106.0091,2600.613,1.318003,0.09923115,0.1003234
02/15/16,00:06:00,755.8838,2596.805,85.09071,25.04501,106.8183,106.0147,2594.558,1.299103,0.1002283,0.09939888
02/15/16,00:07:00,756.571,2592.712,83.33454,25.30865,106.5647,105.5168,2585.246,1.279039,0.09860652,0.09968027
02/15/16,00:08:00,756.7523,2592.324,83.76617,25.28783,106.7381,105.7977,2584.365,1.292363,0.09899285,0.09913167
02/15/16,00:09:00,755.755,2607.334,84.01432,25.327,106.1452,105.3231,2601.564,1.290834,0.09889179,0.09929247
02/15/16,00:10:00,761.8402,2601.693,83.67657,25.2748,106.6601,105.3626,2597.956,1.284515,0.09863678,0.09884326
02/15/16,00:11:00,755.9784,2609.844,84.66675,25.35072,105.9905,105.1453,2603.124,1.293668,0.09931666,0.09921548
02/15/16,00:12:00,764.66,2609.895,85.61886,25.32489,105.9273,105.062,2609.323,1.281165,0.0995609,0.09887888
02/15/16,00:13:00,751.441,2621.909,85.11295,25.38832,106.406,105.093,2616.956,1.304939,0.1002157,0.09970956
02/15/16,00:14:00,758.2776,2606.403,83.23238,25.42845,106.1183,105.1756,2603.1,1.297335,0.09846469,0.09928766
02/15/16,00:15:00,735.0098,2584.519,87.6096,25.15326,106.6032,105.4185,2582.222,1.31758,0.1026119,0.1002593
02/15/16,00:16:00,740.9839,2579.069,85.21362,25.25142,106.6581,105.4209,2576.096,1.308343,0.1008969,0.09996752
02/15/16,00:17:00,740.061,2584.963,84.71539,25.0246,106.9596,105.6826,2579.956,1.311875,0.1003863,0.09998365
02/15/16,00:18:00,709.2413,2523.201,86.52466,24.60681,107.4225,106.1122,2515.884,1.33388,0.1036329,0.1006263
02/15/16,00:19:00,733.0164,2608.792,84.91104,24.87527,108.2126,106.8524,2607.784,1.3279,0.1011146,0.1007003
02/15/16,00:20:00,708.9246,2613.259,85.51319,25.19208,108.6636,106.7967,2606.001,1.368576,0.1026521,0.1019428
02/15/16,00:21:00,737.5208,2618.287,82.85809,25.84689,108.699,107.2313,2613.947,1.336999,0.09903844,0.1010176
02/15/16,00:22:00,739.4556,2604.808,83.13538,25.57268,108.1664,106.9284,2601.934,1.325886,0.09971624,0.1003008
02/15/16,00:23:00,722.1747,2564.886,78.37528,25.50282,107.9251,106.8075,2563.1,1.335123,0.09740665,0.1007687
02/15/16,00:24:00,735.5322,2584.725,84.75918,24.79759,107.9856,106.9798,2578.091,1.322281,0.1009796,0.1000432
02/15/16,00:25:00,744.8505,2628.393,86.08517,25.21875,107.8649,106.647,2621.329,1.322557,0.1007805,0.1004776
02/15/16,00:26:00,749.1241,2618.953,84.1074,25.33348,107.4622,106.4207,2613.738,1.311074,0.09933102,0.1001575
02/15/16,00:27:00,756.2158,2613.525,88.28182,25.39786,107.5163,106.5496,2614.137,1.305309,0.1012231,0.09958445
