$Date,$Time,PI-501B,PI-502B,PDI-501B,PI-701B,PDI-701B,PI-731B,PZI-732B,PI-741B,PZI-742B
02/15/16,00:00:00,106.6403,516.6234,7.574501,7090.888,19.67837,105.0914,105.2355,102.0945,102.2753
02/15/16,00:01:00,106.6251,516.8112,7.6017,7152.878,19.7395,105.3301,105.4954,102.6527,102.6716
02/15/16,00:02:00,106.6619,515.962,7.627258,7156.223,19.75454,105.508,105.7288,102.4997,102.4933
02/15/16,00:03:00,106.6373,516.6182,7.581215,7157.492,19.77495,105.8196,105.983,102.8188,102.8006
02/15/16,00:04:00,106.7625,515.1993,7.655067,6808.328,19.16594,104.6278,105.0734,102.3284,102.3405
02/15/16,00:05:00,106.7324,515.4155,7.648849,7150.949,19.74124,105.5146,105.7048,102.2874,102.2719
02/15/16,00:06:00,106.7046,516.4444,7.590408,7163.928,19.80713,105.624,105.7657,102.7902,102.8245
02/15/16,00:07:00,106.5839,516.4177,7.598877,7147.009,19.74324,105.4984,105.5828,102.7362,102.7126
02/15/16,00:08:00,106.7028,516.553,7.644157,7104.706,19.68826,105.3163,105.4838,102.6996,102.756
02/15/16,00:09:00,106.6509,515.8397,7.624893,7159.326,19.81636,105.3747,105.5084,102.5842,102.5842
02/15/16,00:10:00,106.6185,516.8506,7.528305,7182.651,19.82478,105.4326,105.6208,102.9144,102.8878
02/15/16,00:11:00,106.6878,515.6985,7.631454,7127.869,19.7492,105.0901,105.2675,102.3919,102.3499
02/15/16,00:12:00,106.7253,515.4456,7.897606,7122.937,19.75923,105.1219,105.4121,102.5723,102.5565
02/15/16,00:13:00,106.6893,516.0632,7.557983,7210.727,19.91028,105.2899,105.4753,102.4216,102.4101
02/15/16,00:14:00,106.6118,516.9525,7.657928,7201.779,19.88633,105.3591,105.5716,102.9789,102.9473
02/15/16,00:15:00,106.642,516.1921,7.627983,7156.116,19.7833,104.9611,105.1421,102.381,102.386
02/15/16,00:16:00,106.6452,516.3248,7.659378,7066.84,19.58281,105.0225,105.2181,102.4205,102.3605
02/15/16,00:17:00,106.6349,516.7419,7.589645,7177.127,19.76692,105.1466,105.2899,102.6962,102.702
02/15/16,00:18:00,106.6406,515.9793,7.637444,6967.771,19.41436,104.3612,104.5429,102.041,102.0483
02/15/16,00:19:00,106.575,516.5612,7.604179,7225,19.87949,105.3348,105.4933,102.3469,102.3683
02/15/16,00:20:00,106.7028,515.2673,7.67868,7359.921,20.07647,104.7424,104.9051,102.0618,102.0414
02/15/16,00:21:00,106.7648,515.3112,7.632141,7277.527,19.92515,104.7697,104.9679,102.2083,102.163
