$Date,$Time,PI-501B,PI-502B,PDI-501B,PI-801B,PDI-801B,PI-831B,PZI-832B,PI-841B,PZI-842B
02/15/16,00:00:00,106.6403,516.6234,7.574501,11072.52,4.936279,97.56927,97.98187,84.40071,84.4735
02/15/16,00:01:00,106.6251,516.8112,7.6017,11092.01,4.963062,97.84172,97.99828,84.59091,84.57047
02/15/16,00:02:00,106.6619,515.962,7.627258,11115.17,5.049121,97.75452,98.00507,84.33685,84.34326
02/15/16,00:03:00,106.6373,516.6182,7.581215,11126.68,5.000537,97.88513,98.10722,84.47014,84.46838
02/15/16,00:04:00,106.7625,515.1993,7.655067,11060.85,4.972681,97.36313,97.59048,84.067,84.10751
02/15/16,00:05:00,106.7324,515.4155,7.648849,11082.13,5.003467,97.57233,97.79755,84.57657,84.61929
02/15/16,00:06:00,106.7046,516.4444,7.590408,11100.3,4.966064,97.76634,97.99446,84.56947,84.5932
02/15/16,00:07:00,106.5839,516.4177,7.598877,11119.74,4.98623,97.73224,97.94632,84.51302,84.56276
02/15/16,00:08:00,106.7028,516.553,7.644157,11113.1,4.983154,97.59315,97.80426,84.51118,84.50836
02/15/16,00:09:00,106.6509,515.8397,7.624893,11113.89,4.98208,97.50999,97.76169,84.61739,84.65439
02/15/16,00:10:00,106.6185,516.8506,7.528305,11127.2,4.969629,97.57584,97.79747,84.79034,84.78378
02/15/16,00:11:00,106.6878,515.6985,7.631454,11115.27,4.99065,97.42348,97.63107,84.58229,84.58885
02/15/16,00:12:00,106.7253,515.4456,7.897606,11130.33,4.986011,97.24525,97.55974,84.62151,84.6814
02/15/16,00:13:00,106.6893,516.0632,7.557983,11139.82,4.993896,97.55997,97.75948,84.85855,84.89639
02/15/16,00:14:00,106.6118,516.9525,7.657928,11146.88,4.986646,97.70981,97.93159,84.52316,84.65767
02/15/16,00:15:00,106.642,516.1921,7.627983,11140.04,4.982422,97.54074,97.76894,84.46365,84.51126
02/15/16,00:16:00,106.6452,516.3248,7.659378,11139.98,4.989551,97.56973,97.7845,84.23286,84.27673
02/15/16,00:17:00,106.6349,516.7419,7.589645,11154.61,4.988721,97.67639,97.92183,84.4252,84.40132
02/15/16,00:18:00,106.6406,515.9793,7.637444,11092.79,4.968457,97.67471,97.50465,84.26971,84.28169
02/15/16,00:19:00,106.575,516.5612,7.604179,11121.89,4.965918,97.57912,97.77611,84.47037,84.48914
02/15/16,00:20:00,106.7028,515.2673,7.67868,11164.56,5.004004,97.49992,97.8006,84.45366,84.47845
02/15/16,00:21:00,106.7648,515.3112,7.632141,11209.54,5.027881,97.54974,97.75452,84.48105,84.51141
02/15/16,00:22:00,106.6942,516.5638,7.613792,11217.52,5.06294,97.59674,97.81975,85.4129,84.88182
02/15/16,00:23:00,106.6344,516.4711,7.657356,11212.5,5.02854,97.48169,97.69745,84.53308,84.52629
02/15/16,00:24:00,106.6574,516.5028,7.612839,11138.55,4.988892,97.40768,97.63474,84.72443,84.81026
