$Date,$Time,YXC-401B,YXI-401B,YXI-402B,YXI-403B,YXI-404B
02/15/16,00:00:00,1700,1840.966,576.9985,5403.598,28077.26
02/15/16,00:01:00,1700,1840.803,583.424,5433.271,28223.43
02/15/16,00:02:00,1700,1841.542,587.23,5497.379,28547.39
02/15/16,00:03:00,1700,1841.838,586.554,5499.577,28555.39
02/15/16,00:04:00,1700,1840.79,573.4718,5331.892,27704.41
02/15/16,00:05:00,1700,1840.976,583.9781,5465.753,28387.88
02/15/16,00:06:00,1700,1841.535,588.8121,5499.56,28558.26
02/15/16,00:07:00,1700,1841.255,583.765,5465.819,28361.47
02/15/16,00:08:00,1700,1840.589,584.3226,5471.132,28413.69
02/15/16,00:09:00,1700,1841.578,584.8911,5480.388,28457.48
02/15/16,00:10:00,1700,1840.974,587.6698,5502.609,28582.01
02/15/16,00:11:00,1700,1840.801,587.9288,5493.576,28537.57
02/15/16,00:12:00,1700,1841.128,590.2203,5528.018,28710.41
02/15/16,00:13:00,1700,1840.789,591.7401,5553.671,28868.47
02/15/16,00:14:00,1700,1841.797,583.8124,5493.568,28524.82
02/15/16,00:15:00,1700,1841.826,590.4063,5527.146,28699.47
02/15/16,00:16:00,1700,1840.776,584.3209,5485.023,28485.91
02/15/16,00:17:00,1700,1840.976,586.4689,5481.62,28490.3
02/15/16,00:18:00,1700,1840.992,578.1127,5387.004,27978.97
02/15/16,00:19:00,1700,1841.014,590.0598,5523.674,28684.93
02/15/16,00:20:00,1700,1841.277,594.3193,5543.274,28800.61
02/15/16,00:21:00,1700,1841.556,585.2196,5480.349,28451.4
02/15/16,00:22:00,1700,1841.833,588.0494,5512.117,28631.47
02/15/16,00:23:00,1700,1841.063,573.6197,5380.605,27940.46
02/15/16,00:24:00,1700,1840.403,583.8915,5454.731,28324.18
02/15/16,00:25:00,1700,1841.372,590.7183,5539.951,28768.45
02/15/16,00:26:00,1700,1841.543,588.1331,5511.992,28609.9
02/15/16,00:27:00,1700,1841.135,593.1786,5576.087,28958.03
02/15/16,00:28:00,1700,1840.786,591.6041,5530.843,28727.5
02/15/16,00:29:00,1700,1840.805,571.3087,5335.156,27714.27
02/15/16,00:30:00,1700,1840.614,561.0118,5237.457,27214.21
02/15/16,00:31:00,1700,1840.975,574.9901,5374.469,27918.73
02/15/16,00:32:00,1700,1841.542,582.3891,5451.346,28305.53
02/15/16,00:33:00,1700,1840.794,582.9988,5446.509,28296.37
02/15/16,00:34:00,1700,1841.239,583.1822,5452.605,28336.65
02/15/16,00:35:00,1700,1840.592,577.1196,5389.017,28002.32
02/15/16,00:36:00,1700,1840.799,586.2086,5477.266,28451.91
02/15/16,00:37:00,1700,1840.977,595.1351,5578.124,29035.77
02/15/16,00:38:00,1700,1840.787,588.9452,5491.859,28519.9
02/15/16,00:39:00,1700,1840.337,585.9178,5487.313,28509.76
02/15/16,00:40:00,1700,1841.256,581.7131,5436.581,28233.91
02/15/16,00:41:00,1700,1840.306,589.7126,5545.469,28812.82
02/15/16,00:42:00,1700,1840.984,580.8583,5424.248,28184.77
02/15/16,00:43:00,1700,1841.833,585.3553,5472.109,28423.55
02/15/16,00:44:00,1700,1840.82,595.887,5578.227,28970.8
02/15/16,00:45:00,1700,1840.965,592.8563,5543.218,28782.85
02/15/16,00:46:00,1700,1841.833,592.3008,5543.248,28788.93
02/15/16,00:47:00,1700,1841.556,588.3506,5487.081,28486.65
02/15/16,00:48:00,1700,1840.963,586.4635,5497.408,28564.79
02/15/16,00:49:00,1700,1841.523,592.6414,5541.857,28739.95
02/15/16,00:50:00,1700,1840.372,596.2523,5584.9,29014.81
02/15/16,00:51:00,1700,1841.032,591.956,5568.967,28924.35
02/15/16,00:52:00,1700,1841.847,578.8007,5405.035,28058.61
02/15/16,00:53:00,1700,1841.282,583.2994,5461.549,28386.44
02/15/16,00:54:00,1700,1841.298,590.9716,5527.985,28693.01
02/15/16,00:55:00,1700,1842.031,589.5015,5492.319,28520.25
02/15/16,00:56:00,1700,1841.591,582.0522,5451.258,28300.32
02/15/16,00:57:00,1700,1841.259,590.9664,5535.769,28748.17
02/15/16,00:58:00,1700,1842.305,588.358,5498.278,28537.34
02/15/16,00:59:00,1700,1841.249,582.3221,5426.664,28179.39
02/15/16,01:00:00,1700,1841.25,591.0919,5535.546,28744.5
02/15/16,01:01:00,1700,1841.559,593.6534,5542.291,28778.55
02/15/16,01:02:00,1700,1840.974,596.6805,5590.679,29044.65
02/15/16,01:03:00,1700,1841.556,596.2548,5570.527,28925
02/15/16,01:04:00,1700,1841.018,573.9505,5354.239,27804.46
02/15/16,01:05:00,1700,1841.264,583.1558,5453.296,28317.08
02/15/16,01:06:00,1700,1841.831,587.6595,5477.745,28440.82
02/15/16,01:07:00,1700,1841.25,578.2377,5400.555,28054.03
02/15/16,01:08:00,1700,1840.974,587.4927,5480.252,28464.81
02/15/16,01:09:00,1700,1841.255,594.9211,5571.649,28930.09
02/15/16,01:10:00,1700,1841.548,588.9373,5505.051,28581.73
02/15/16,01:11:00,1700,1841.53,593.754,5554.5,28851.56
02/15/16,01:12:00,1700,1840.601,600.682,5612.167,29156.57
02/15/16,01:13:00,1700,1841.826,600.2936,5637.984,29273.4
02/15/16,01:14:00,1700,1840.875,597.5044,5603.346,29138.42
02/15/16,01:15:00,1700,1842.601,580.382,5426.373,28158.89
02/15/16,01:16:00,1700,1840.856,594.218,5568.261,28920.29
02/15/16,01:17:00,1700,1841.846,598.0588,5611.775,29147.26
02/15/16,01:18:00,1700,1841.569,595.1342,5571.701,28941.63
02/15/16,01:19:00,1700,1840.591,589.4911,5519.893,28661.32
02/15/16,01:20:00,1700,1841.529,594.1361,5577,28913.96
02/15/16,01:21:00,1700,1840.792,597.8771,5608.884,29148.94
02/15/16,01:22:00,1700,1840.593,596.8076,5598.23,29071.92
02/15/16,01:23:00,1700,1841.255,598.7402,5620.891,29200.27
02/15/16,01:24:00,1700,1840.576,596.4243,5615.055,29165.89
02/15/16,01:25:00,1700,1840.96,584.741,5472.05,28430.13
02/15/16,01:26:00,1700,1840.761,571.8627,5324.098,27652.79
02/15/16,01:27:00,1700,1840.575,588.1223,5498.199,28564.46
02/15/16,01:28:00,1700,1840.6,591.6022,5537.897,28761.86
02/15/16,01:29:00,1700,1841.28,594.782,5578.426,28952.41
02/15/16,01:30:00,1700,1841.554,572.7739,5358.962,27838.41
02/15/16,01:31:00,1700,1839.767,587.4854,5501.723,28592.55
02/15/16,01:32:00,1700,1840.597,597.5325,5592.858,29040.67
02/15/16,01:33:00,1700,1840.972,596.2552,5591.85,29052.75
02/15/16,01:34:00,1700,1841.308,587.6426,5494.92,28540.77
02/15/16,01:35:00,1700,1841.249,592.7269,5545.447,28836.87
02/15/16,01:36:00,1700,1840.955,596.0392,5584.979,29007.88
02/15/16,01:37:00,1700,1841.532,591.7339,5541.333,28707.07
02/15/16,01:38:00,1700,1841.835,593.4568,5544.19,28783.21
02/15/16,01:39:00,1700,1841.282,598.8127,5607.701,29042.61
02/15/16,01:40:00,1700,1841.829,577.6802,5398.039,28025.97
02/15/16,01:41:00,1700,1840.78,571.294,5338.401,27706.34
02/15/16,01:42:00,1700,1840.962,589.364,5514.944,28648.02
02/15/16,01:43:00,1700,1840.978,595.0128,5575.88,28958.68
02/15/16,01:44:00,1700,1840.936,598.8293,5623.492,29200.49
02/15/16,01:45:00,1700,1842.297,588.9388,5508.077,28592.76
02/15/16,01:46:00,1700,1840.316,597.6166,5599.407,29099.95
02/15/16,01:47:00,1700,1842.022,580.1593,5418.072,28155.36
02/15/16,01:48:00,1700,1840.786,589.1099,5539.857,28778.75
02/15/16,01:49:00,1700,1843.453,591.3026,5556.057,28872.48
02/15/16,01:50:00,1700,1842.028,595.7754,5580.692,28969.31
02/15/16,01:51:00,1700,1841.846,579.9597,5420.781,28143.59
02/15/16,01:52:00,1700,1840.585,596.5916,5581.538,28992.77
02/15/16,01:53:00,1700,1840.974,599.8569,5625.662,29217.64
02/15/16,01:54:00,1700,1840.942,597.8505,5606.47,29100.06
02/15/16,01:55:00,1700,1840.763,594.5731,5571.606,28934.88
02/15/16,01:56:00,1700,1840.919,596.7992,5586.161,29007.22
